is_defect_prone,filepath,filename,directory,file_ext,language,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,total_commits,total_authors,total_churn,avg_churn,max_churn,lines_added,lines_deleted,avg_loc,max_loc,min_loc,loc_var,avg_cc,sum_cc,churn_per_loc,add_del_ratio,loc_range,cyclomatic_complexity,num_functions,num_classes,comment_lines,blank_lines,code_lines,comment_ratio,avg_func_complexity,max_nesting,long_methods,complexity_per_loc,churn_density,author_diversity,commit_frequency,defect_commits,first_seen,last_seen,dataset_name,task_type
0,record_0,record_0,.,,Unknown,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,9.51,3.0,85.59,0.01,9.0,0.33,4.75,28.53,1.0,0.0,0.0,3.0,0.25,3.0,6.0,3.0,6.0,4.0,0.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_1,record_1,.,,Unknown,1.0,5.0,4.0,0.0,0.0,8.0,3.0,0.27,4.0,2.0,3.0,1.0,13.0,1.0,0.0,11.0,1.0,3.0,1.0,23.27,11.38,3010.96,0.09,57.0,0.09,167.28,264.7,0.33,2.0,4.0,12.0,0.23,21.0,36.0,12.0,13.0,13.0,0.0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_2,record_2,.,,Unknown,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.62,5.0,90.47,0.01,7.0,0.2,5.03,18.09,1.0,0.0,0.0,2.0,0.25,2.0,5.0,1.0,5.0,4.0,0.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_3,record_3,.,,Unknown,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,7.86,2.5,49.13,0.01,7.0,0.4,2.73,19.65,1.0,0.0,0.0,2.0,0.25,2.0,5.0,2.0,5.0,4.0,0.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_4,record_4,.,,Unknown,5.0,18.0,18.0,0.0,2.0,20.0,10.0,0.17,10.0,2.0,8.0,0.8,62.0,5.0,0.44,58.0,0.0,9.0,0.9,69.5,23.96,39892.13,0.56,269.0,0.04,2216.23,1665.06,0.5,5.0,10.0,54.0,0.15,92.0,177.0,48.0,25.0,66.0,3.33,58.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_5,record_5,.,,Unknown,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,1.0,1.0,3.0,1.0,0.0,6.0,0.0,1.0,1.0,21.8,6.19,834.61,0.04,33.0,0.16,46.37,134.89,1.0,0.0,0.0,4.0,0.14,11.0,22.0,8.0,9.0,7.0,0.0,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_6,record_6,.,,Unknown,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,1.0,1.0,3.0,1.0,0.0,6.0,3.0,1.0,1.0,26.01,7.86,1605.45,0.07,44.0,0.13,89.19,204.33,1.0,0.0,0.0,4.0,0.11,20.0,24.0,14.0,11.0,9.0,0.0,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_7,record_7,.,,Unknown,0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,6.0,1.0,0.0,9.0,1.0,1.0,0.5,14.87,8.57,1092.32,0.04,30.0,0.12,60.68,127.44,0.5,1.0,2.0,6.0,0.2,10.0,20.0,7.0,12.0,10.0,0.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_8,record_8,.,,Unknown,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,9.51,3.0,85.59,0.01,9.0,0.33,4.75,28.53,1.0,0.0,0.0,3.0,0.25,3.0,6.0,3.0,6.0,4.0,0.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_9,record_9,.,,Unknown,1.0,7.0,4.0,0.0,0.0,8.0,4.0,0.5,2.0,4.0,3.0,0.75,14.0,1.0,0.0,8.0,2.0,4.0,1.0,15.19,14.0,2976.5,0.07,47.0,0.07,165.36,212.61,0.25,3.0,4.0,12.0,0.4,18.0,29.0,9.0,14.0,10.0,0.0,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
0,record_10,record_10,.,,Unknown,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kc3,traditional_file
