train_dataset,test_dataset,model,n_features,train_size,test_size,seconds,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
ar1,ar3,Random Forest,58,121,63,0.075007292,0.8412698412698413,0.8022727272727272,0.42857142857142855,0.75,0.5454545454545454,0.7727272727272726,0.2945943937015365,0.48416483186574427
ar1,ar3,SVM,58,121,63,0.012910499999999825,0.873015873015873,0.5,0.0,0.0,0.0,0.6954545454545455,0.2327205882352941,0.0
ar1,ar3,Logistic Regression,58,121,63,0.033173584000000034,0.47619047619047616,0.5931818181818181,0.16216216216216217,0.75,0.26666666666666666,0.7113636363636364,0.42956349206349204,0.12603755744009754
ar3,ar1,Random Forest,58,63,121,0.06832454099999996,0.9256198347107438,0.5,0.0,0.0,0.0,0.714781746031746,0.20705894356518242,0.0
ar3,ar1,SVM,58,63,121,0.010423708999999892,0.9256198347107438,0.5,0.0,0.0,0.0,0.35962301587301587,0.07012620240112873,0.0
ar3,ar1,Logistic Regression,58,63,121,0.011200624999999853,0.9256198347107438,0.5,0.0,0.0,0.0,0.35763888888888884,0.06998013039515016,0.0
ar1,ar4,Random Forest,58,121,107,0.07063212500000038,0.8411214953271028,0.7097701149425287,0.5882352941176471,0.5,0.5405405405405406,0.7922413793103447,0.4816385655383693,0.4474067382396943
ar1,ar4,SVM,58,121,107,0.011226624999999935,0.8130841121495327,0.5,0.0,0.0,0.0,0.6264367816091954,0.27118759915592316,0.0
ar1,ar4,Logistic Regression,58,121,107,0.011163541999999804,0.5607476635514018,0.710632183908046,0.2923076923076923,0.95,0.4470588235294118,0.821551724137931,0.48672384581622097,0.33631638558381227
ar4,ar1,Random Forest,58,107,121,0.07264125000000021,0.9173553719008265,0.5466269841269841,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.7470238095238095,0.2105069154479449,0.15736058322268526
ar4,ar1,SVM,58,107,121,0.011911457999999708,0.9256198347107438,0.5,0.0,0.0,0.0,0.5778769841269842,0.14891902439651672,0.0
ar4,ar1,Logistic Regression,58,107,121,0.011097459000000143,0.9008264462809917,0.48660714285714285,0.0,0.0,0.0,0.7723214285714286,0.16568832987372945,-0.04519931645757981
ar1,ar5,Random Forest,58,121,36,0.06964166699999996,0.8611111111111112,0.8660714285714286,0.6363636363636364,0.875,0.7368421052631579,0.8794642857142858,0.6156565656565657,0.6607748305008119
ar1,ar5,SVM,58,121,36,0.011232374999999628,0.7777777777777778,0.5,0.0,0.0,0.0,0.46205357142857145,0.2475320512820513,0.0
ar1,ar5,Logistic Regression,58,121,36,0.010723207999999929,0.7222222222222222,0.8214285714285714,0.4444444444444444,1.0,0.6153846153846154,0.9241071428571428,0.78125,0.5345224838248488
ar5,ar1,Random Forest,58,36,121,0.06643908300000012,0.9256198347107438,0.5,0.0,0.0,0.0,0.7083333333333334,0.2887837075448484,0.0
ar5,ar1,SVM,58,36,121,0.00985766599999982,0.9256198347107438,0.5,0.0,0.0,0.0,0.6086309523809523,0.15333785111130957,0.0
ar5,ar1,Logistic Regression,58,36,121,0.010445332999999835,0.9256198347107438,0.5,0.0,0.0,0.0,0.7197420634920635,0.23438971474010992,0.0
ar1,ar6,Random Forest,58,121,101,0.07175154199999989,0.8316831683168316,0.4883720930232558,0.0,0.0,0.0,0.6329457364341086,0.2554857323597081,-0.05935998799503724
ar1,ar6,SVM,58,121,101,0.011390583000000287,0.8514851485148515,0.5,0.0,0.0,0.0,0.5945736434108527,0.19091285007963651,0.0
ar1,ar6,Logistic Regression,58,121,101,0.011516625000000058,0.8316831683168316,0.4883720930232558,0.0,0.0,0.0,0.4790697674418605,0.15087989861317264,-0.05935998799503724
