train_dataset,test_dataset,model,reason
kc1,ar1,Random Forest,No feature in X meets the variance threshold 0.00000
kc1,ar1,SVM,No feature in X meets the variance threshold 0.00000
kc1,ar1,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc2,ar1,Random Forest,No feature in X meets the variance threshold 0.00000
kc2,ar1,SVM,No feature in X meets the variance threshold 0.00000
kc2,ar1,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc3,ar1,Random Forest,No feature in X meets the variance threshold 0.00000
kc3,ar1,SVM,No feature in X meets the variance threshold 0.00000
kc3,ar1,Logistic Regression,No feature in X meets the variance threshold 0.00000
mc2,ar1,Random Forest,No feature in X meets the variance threshold 0.00000
mc2,ar1,SVM,No feature in X meets the variance threshold 0.00000
mc2,ar1,Logistic Regression,No feature in X meets the variance threshold 0.00000
mw1,ar1,Random Forest,No feature in X meets the variance threshold 0.00000
mw1,ar1,SVM,No feature in X meets the variance threshold 0.00000
mw1,ar1,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc1,ar1,Random Forest,No feature in X meets the variance threshold 0.00000
pc1,ar1,SVM,No feature in X meets the variance threshold 0.00000
pc1,ar1,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc3,ar1,Random Forest,No feature in X meets the variance threshold 0.00000
pc3,ar1,SVM,No feature in X meets the variance threshold 0.00000
pc3,ar1,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc4,ar1,Random Forest,No feature in X meets the variance threshold 0.00000
pc4,ar1,SVM,No feature in X meets the variance threshold 0.00000
pc4,ar1,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc1,ar3,Random Forest,No feature in X meets the variance threshold 0.00000
kc1,ar3,SVM,No feature in X meets the variance threshold 0.00000
kc1,ar3,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc2,ar3,Random Forest,No feature in X meets the variance threshold 0.00000
kc2,ar3,SVM,No feature in X meets the variance threshold 0.00000
kc2,ar3,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc3,ar3,Random Forest,No feature in X meets the variance threshold 0.00000
kc3,ar3,SVM,No feature in X meets the variance threshold 0.00000
kc3,ar3,Logistic Regression,No feature in X meets the variance threshold 0.00000
mc2,ar3,Random Forest,No feature in X meets the variance threshold 0.00000
mc2,ar3,SVM,No feature in X meets the variance threshold 0.00000
mc2,ar3,Logistic Regression,No feature in X meets the variance threshold 0.00000
mw1,ar3,Random Forest,No feature in X meets the variance threshold 0.00000
mw1,ar3,SVM,No feature in X meets the variance threshold 0.00000
mw1,ar3,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc1,ar3,Random Forest,No feature in X meets the variance threshold 0.00000
pc1,ar3,SVM,No feature in X meets the variance threshold 0.00000
pc1,ar3,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc3,ar3,Random Forest,No feature in X meets the variance threshold 0.00000
pc3,ar3,SVM,No feature in X meets the variance threshold 0.00000
pc3,ar3,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc4,ar3,Random Forest,No feature in X meets the variance threshold 0.00000
pc4,ar3,SVM,No feature in X meets the variance threshold 0.00000
pc4,ar3,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc1,ar4,Random Forest,No feature in X meets the variance threshold 0.00000
kc1,ar4,SVM,No feature in X meets the variance threshold 0.00000
kc1,ar4,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc2,ar4,Random Forest,No feature in X meets the variance threshold 0.00000
kc2,ar4,SVM,No feature in X meets the variance threshold 0.00000
kc2,ar4,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc3,ar4,Random Forest,No feature in X meets the variance threshold 0.00000
kc3,ar4,SVM,No feature in X meets the variance threshold 0.00000
kc3,ar4,Logistic Regression,No feature in X meets the variance threshold 0.00000
mc2,ar4,Random Forest,No feature in X meets the variance threshold 0.00000
mc2,ar4,SVM,No feature in X meets the variance threshold 0.00000
mc2,ar4,Logistic Regression,No feature in X meets the variance threshold 0.00000
mw1,ar4,Random Forest,No feature in X meets the variance threshold 0.00000
mw1,ar4,SVM,No feature in X meets the variance threshold 0.00000
mw1,ar4,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc1,ar4,Random Forest,No feature in X meets the variance threshold 0.00000
pc1,ar4,SVM,No feature in X meets the variance threshold 0.00000
pc1,ar4,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc3,ar4,Random Forest,No feature in X meets the variance threshold 0.00000
pc3,ar4,SVM,No feature in X meets the variance threshold 0.00000
pc3,ar4,Logistic Regression,No feature in X meets the variance threshold 0.00000
pc4,ar4,Random Forest,No feature in X meets the variance threshold 0.00000
pc4,ar4,SVM,No feature in X meets the variance threshold 0.00000
pc4,ar4,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc1,ar5,Random Forest,No feature in X meets the variance threshold 0.00000
kc1,ar5,SVM,No feature in X meets the variance threshold 0.00000
kc1,ar5,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc2,ar5,Random Forest,No feature in X meets the variance threshold 0.00000
kc2,ar5,SVM,No feature in X meets the variance threshold 0.00000
kc2,ar5,Logistic Regression,No feature in X meets the variance threshold 0.00000
kc3,ar5,Random Forest,No feature in X meets the variance threshold 0.00000
kc3,ar5,SVM,No feature in X meets the variance threshold 0.00000
kc3,ar5,Logistic Regression,No feature in X meets the variance threshold 0.00000
mc2,ar5,Random Forest,No feature in X meets the variance threshold 0.00000
mc2,ar5,SVM,No feature in X meets the variance threshold 0.00000
mc2,ar5,Logistic Regression,No feature in X meets the variance threshold 0.00000
