dataset,model,split_index,repeat,fold,train_size,test_size,fit_seconds,predict_seconds,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
ar1,Random Forest,1,1,1,96,25,0.06128491700000005,0.008249667000000294,0.92,0.5,0.0,0.0,0.0,0.782608695652174,0.20833333333333331,0.0
ar1,Random Forest,2,1,2,97,24,0.05880133399999998,0.007699542000000115,0.9583333333333334,0.9782608695652174,0.5,1.0,0.6666666666666666,0.9782608695652174,0.5,0.6915640748081247
ar1,Random Forest,3,1,3,97,24,0.057895917000000185,0.007861709000000161,0.9166666666666666,0.5,0.0,0.0,0.0,0.8863636363636364,0.39285714285714285,0.0
ar1,Random Forest,4,1,4,97,24,0.05744741600000003,0.007937333000000102,0.9166666666666666,0.5,0.0,0.0,0.0,0.8863636363636362,0.6428571428571428,0.0
ar1,Random Forest,5,1,5,97,24,0.056587166999999994,0.007864584000000008,0.875,0.4772727272727273,0.0,0.0,0.0,0.7613636363636364,0.20833333333333331,-0.06286946134619315
ar1,Random Forest,6,2,1,96,25,0.05821708300000017,0.008106624999999923,0.92,0.5,0.0,0.0,0.0,0.891304347826087,0.3666666666666667,0.0
ar1,Random Forest,7,2,2,97,24,0.05626400000000009,0.007518333000000155,0.9166666666666666,0.4782608695652174,0.0,0.0,0.0,0.6956521739130435,0.125,-0.043478260869565216
ar1,Random Forest,8,2,3,97,24,0.0563704580000004,0.007456916000000202,0.9166666666666666,0.5,0.0,0.0,0.0,0.8636363636363636,0.30952380952380953,0.0
ar1,Random Forest,9,2,4,97,24,0.05538987499999992,0.007941124999999882,0.875,0.4772727272727273,0.0,0.0,0.0,0.375,0.09453781512605042,-0.06286946134619315
ar1,Random Forest,10,2,5,97,24,0.05651841699999993,0.007832500000000131,0.9166666666666666,0.5,0.0,0.0,0.0,1.0,1.0,0.0
ar1,SVM,1,1,1,96,25,0.005700915999999889,0.002070500000000308,0.92,0.5,0.0,0.0,0.0,0.26086956521739135,0.07919254658385093,0.0
ar1,SVM,2,1,2,97,24,0.0043999999999999595,0.0019559579999999244,0.9583333333333334,0.5,0.0,0.0,0.0,0.8043478260869565,0.16666666666666666,0.0
ar1,SVM,3,1,3,97,24,0.004479625000000098,0.0019622919999999766,0.9166666666666666,0.5,0.0,0.0,0.0,0.45454545454545453,0.13095238095238093,0.0
ar1,SVM,4,1,4,97,24,0.004257291000000052,0.0020116669999996617,0.9166666666666666,0.5,0.0,0.0,0.0,0.11363636363636365,0.06944444444444445,0.0
ar1,SVM,5,1,5,97,24,0.004302916000000323,0.0019110840000000628,0.9166666666666666,0.5,0.0,0.0,0.0,0.8181818181818181,0.26666666666666666,0.0
ar1,SVM,6,2,1,96,25,0.004247832999999979,0.0019065829999997952,0.92,0.5,0.0,0.0,0.0,0.6739130434782609,0.5588235294117647,0.0
ar1,SVM,7,2,2,97,24,0.004209083000000113,0.0020097919999999547,0.9583333333333334,0.5,0.0,0.0,0.0,0.3913043478260869,0.06666666666666667,0.0
ar1,SVM,8,2,3,97,24,0.004168208000000284,0.0018910830000002932,0.9166666666666666,0.5,0.0,0.0,0.0,0.6136363636363635,0.14583333333333331,0.0
ar1,SVM,9,2,4,97,24,0.004267207999999911,0.0019468329999998701,0.875,0.4772727272727273,0.0,0.0,0.0,0.7954545454545454,0.35,-0.06286946134619315
ar1,SVM,10,2,5,97,24,0.004040499999999891,0.0019392920000003144,0.9166666666666666,0.5,0.0,0.0,0.0,0.2272727272727273,0.08012820512820512,0.0
ar1,Logistic Regression,1,1,1,96,25,0.02736975000000008,0.0021179590000000026,0.92,0.5,0.0,0.0,0.0,0.4782608695652174,0.10989010989010989,0.0
ar1,Logistic Regression,2,1,2,97,24,0.004481041000000019,0.001763250000000216,0.9583333333333334,0.9782608695652174,0.5,1.0,0.6666666666666666,0.9782608695652174,0.5,0.6915640748081247
ar1,Logistic Regression,3,1,3,97,24,0.00479920800000011,0.0018050409999998962,0.9166666666666666,0.5,0.0,0.0,0.0,0.36363636363636365,0.10101010101010101,0.0
ar1,Logistic Regression,4,1,4,97,24,0.005003708000000273,0.0018850829999998986,0.9583333333333334,0.75,1.0,0.5,0.6666666666666666,0.75,0.5769230769230769,0.6915640748081247
ar1,Logistic Regression,5,1,5,97,24,0.005128416999999885,0.0017787919999996404,0.9166666666666666,0.5,0.0,0.0,0.0,0.6590909090909091,0.1625,0.0
ar1,Logistic Regression,6,2,1,96,25,0.004608334000000269,0.0017946250000000497,0.92,0.5,0.0,0.0,0.0,0.45652173913043476,0.16666666666666666,0.0
ar1,Logistic Regression,7,2,2,97,24,0.004683500000000063,0.0019018750000001639,0.9166666666666666,0.4782608695652174,0.0,0.0,0.0,0.4782608695652174,0.07692307692307693,-0.043478260869565216
ar1,Logistic Regression,8,2,3,97,24,0.004514874999999918,0.001737833999999605,0.9166666666666666,0.5,0.0,0.0,0.0,0.8636363636363636,0.39285714285714285,0.0
ar1,Logistic Regression,9,2,4,97,24,0.0046178750000001045,0.0017498339999999502,0.8333333333333334,0.45454545454545453,0.0,0.0,0.0,0.4545454545454546,0.10989010989010989,-0.09090909090909091
ar1,Logistic Regression,10,2,5,97,24,0.004470749999999857,0.0019218750000002949,0.875,0.4772727272727273,0.0,0.0,0.0,0.9090909090909091,0.45,-0.06286946134619315
ar3,Random Forest,1,1,1,50,13,0.05479600000000007,0.007534791999999957,0.9230769230769231,0.9545454545454546,0.6666666666666666,1.0,0.8,0.9545454545454546,0.8333333333333333,0.778498944161523
ar3,Random Forest,2,1,2,50,13,0.054911415999999935,0.0075590829999998554,0.8461538461538461,0.5,0.0,0.0,0.0,0.9545454545454546,0.8333333333333333,0.0
ar3,Random Forest,3,1,3,50,13,0.056829165999999987,0.008089542000000005,0.9230769230769231,0.75,1.0,0.5,0.6666666666666666,0.7954545454545454,0.6428571428571428,0.67700320038633
ar3,Random Forest,4,1,4,51,12,0.05969800000000003,0.007729459000000105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ar3,Random Forest,5,1,5,51,12,0.05407637499999973,0.007896125000000254,0.9166666666666666,0.5,0.0,0.0,0.0,0.18181818181818182,0.08333333333333333,0.0
ar3,Random Forest,6,2,1,50,13,0.05562924999999996,0.007876583999999909,0.9230769230769231,0.75,1.0,0.5,0.6666666666666666,1.0,1.0,0.67700320038633
ar3,Random Forest,7,2,2,50,13,0.054166540999999846,0.007748749999999749,0.8461538461538461,0.7045454545454546,0.5,0.5,0.5,0.7272727272727273,0.39285714285714285,0.4090909090909091
ar3,Random Forest,8,2,3,50,13,0.05576241699999995,0.00792241700000007,0.9230769230769231,0.9545454545454546,0.6666666666666666,1.0,0.8,1.0,1.0,0.778498944161523
ar3,Random Forest,9,2,4,51,12,0.05524745799999975,0.00770429100000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ar3,Random Forest,10,2,5,51,12,0.0547894160000002,0.007621624999999632,0.9166666666666666,0.5,0.0,0.0,0.0,0.5454545454545454,0.14285714285714285,0.0
ar3,SVM,1,1,1,50,13,0.0037343750000005116,0.001989040999999858,0.7692307692307693,0.45454545454545453,0.0,0.0,0.0,0.9090909090909091,0.5833333333333333,-0.12309149097933272
ar3,SVM,2,1,2,50,13,0.003576291999999981,0.001810666999999988,0.8461538461538461,0.5,0.0,0.0,0.0,0.9090909090909091,0.5833333333333333,0.0
ar3,SVM,3,1,3,50,13,0.0037096249999999387,0.0018325840000006366,0.8461538461538461,0.5,0.0,0.0,0.0,0.5,0.5769230769230769,0.0
ar3,SVM,4,1,4,51,12,0.0035151249999998413,0.0019221670000000302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ar3,SVM,5,1,5,51,12,0.0035847499999999144,0.0018292080000001931,0.9166666666666666,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
ar3,SVM,6,2,1,50,13,0.0037349579999998994,0.001986999999999739,0.8461538461538461,0.5,0.0,0.0,0.0,1.0,1.0,0.0
ar3,SVM,7,2,2,50,13,0.0034766660000000726,0.0018077080000002965,0.8461538461538461,0.7045454545454546,0.5,0.5,0.5,0.45454545454545453,0.3269230769230769,0.4090909090909091
ar3,SVM,8,2,3,50,13,0.004112749999999998,0.0019177500000004954,0.7692307692307693,0.45454545454545453,0.0,0.0,0.0,0.9090909090909091,0.5833333333333333,-0.12309149097933272
ar3,SVM,9,2,4,51,12,0.003633290999999872,0.0019155419999998813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ar3,SVM,10,2,5,51,12,0.003866916000000664,0.00231262499999918,0.9166666666666666,0.5,0.0,0.0,0.0,0.2727272727272727,0.1111111111111111,0.0
ar3,Logistic Regression,1,1,1,50,13,0.004911875000000343,0.0017982920000001457,0.8461538461538461,0.7045454545454546,0.5,0.5,0.5,0.8181818181818181,0.6666666666666666,0.4090909090909091
ar3,Logistic Regression,2,1,2,50,13,0.004524832999999617,0.0017377920000001268,0.8461538461538461,0.5,0.0,0.0,0.0,0.8181818181818182,0.45,0.0
ar3,Logistic Regression,3,1,3,50,13,0.00428812500000042,0.0017227919999998065,0.9230769230769231,0.75,1.0,0.5,0.6666666666666666,0.5909090909090908,0.5909090909090909,0.67700320038633
ar3,Logistic Regression,4,1,4,51,12,0.00471754099999977,0.0017739169999995141,0.9166666666666666,0.9545454545454546,0.5,1.0,0.6666666666666666,1.0,1.0,0.674199862463242
ar3,Logistic Regression,5,1,5,51,12,0.004314125000000502,0.0018323750000002192,0.9166666666666666,0.5,0.0,0.0,0.0,0.5454545454545454,0.16666666666666666,0.0
ar3,Logistic Regression,6,2,1,50,13,0.004437582999999634,0.001711582999999628,0.9230769230769231,0.75,1.0,0.5,0.6666666666666666,1.0,1.0,0.67700320038633
