dataset,model,n_folds,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,mcc_mean,mcc_std,mcc_ci95_low,mcc_ci95_high,fit_seconds_mean,predict_seconds_mean
ar1,Logistic Regression,10,0.9131666666666668,0.03659462619930236,0.886988448092934,0.9393448852403996,0.5638339920948616,0.1678428194306172,0.44376647209461567,0.6839015120951075,0.15,0.3374742788552764,0.0,0.3914145559725568,0.15,0.3374742788552764,0.0,0.3914145559725568,0.13333333333333333,0.2810913475705226,0.0,0.33441397003147544,0.6391304347826087,0.2226242650549558,0.4798746293349674,0.79838624023025,0.26466602841602843,0.19254200290834422,0.12692977694271737,0.4024022798893395,0.11858713364914002,0.3036811280141218,0.0,0.33582752579237113,0.006967745800000058,0.0018456167999999717
ar1,Random Forest,10,0.9131666666666666,0.02382355406724744,0.8961243227394745,0.9302090105938586,0.5411067193675889,0.1539630125960709,0.4309682150402198,0.651245223694958,0.05,0.15811388300841897,0.0,0.16310785814270495,0.1,0.31622776601683794,0.0,0.3262157162854099,0.06666666666666667,0.21081851067789192,0.0,0.2174771441902732,0.8120553359683795,0.17979486685194684,0.6834378363045853,0.9406728356321737,0.38481092436974784,0.2745551862810234,0.18840597578870266,0.581215872950793,0.0522346891246173,0.22626723128831688,0.0,0.21409651562557575,0.057477658400000076,0.007846833400000097
ar1,SVM,10,0.9215,0.02356302292539556,0.9046440288243567,0.9383559711756433,0.49772727272727274,0.007186994682200855,0.4925860064480589,0.5028685390064866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5153162055335968,0.2617664386315678,0.3280597759025318,0.7025726351646617,0.19143744398539791,0.15901241303916436,0.07768681617996136,0.30518807179083446,-0.006286946134619315,0.019881069312188603,0.0,0.007935114096287655,0.00440735800000005,0.0019605084000000163
ar3,Random Forest,10,0.9217948717948717,0.051353226959999325,0.8850589862442496,0.9585307573454939,0.7613636363636364,0.21001388296407747,0.6111287548318566,0.9115985178954161,0.5833333333333333,0.43920523057894156,0.26914483849248627,0.8975218281741802,0.55,0.43779751788545657,0.2368185221560849,0.8631814778439152,0.5433333333333333,0.4037020047534757,0.2545423162715969,0.8321243503950697,0.8159090909090908,0.2702857889595726,0.6225582851863536,1.0,0.6928571428571428,0.3626037527129049,0.4334660442166781,0.9522482414976076,0.5320095198186615,0.40356769484628213,0.2433145822765786,0.8207044573607445,0.055590603899999945,0.007768266799999956
ar3,Logistic Regression,10,0.8826923076923077,0.07371330345824983,0.8299609870002345,0.9354236283843809,0.6977272727272728,0.17736011831933338,0.5708514872406285,0.824603058213917,0.4666666666666666,0.41425226405127225,0.17032844875628372,0.7630048845770495,0.45,0.3689323936863109,0.1860816643336885,0.7139183356663115,0.43,0.3422691165561803,0.18515542376500838,0.6748445762349916,0.7,0.2916027084538038,0.491399988702667,0.9086000112973329,0.5826262626262626,0.3453795673452192,0.33555660393859515,0.8296959213139301,0.3982246433239877,0.34979735023655306,0.14799469313584745,0.648454593512128,0.004438728999999952,0.0017610290999997779
ar3,SVM,10,0.8756410256410255,0.08193545956380761,0.8170279287967274,0.9342541224853237,0.6113636363636363,0.21652623124099074,0.45647010151776535,0.7662571712095073,0.25,0.42491829279939874,0.0,0.5539682352348254,0.25,0.42491829279939874,0.0,0.5539682352348254,0.25,0.42491829279939874,0.0,0.5539682352348254,0.6954545454545454,0.3611340672225809,0.4371147964792148,0.9537942944298761,0.5848290598290597,0.3431216336804625,0.33937462958173953,0.83028349007638,0.21629079271322435,0.4384114419733929,0.0,0.5299114453931972,0.0036944748000000693,0.0019324292000000298
ar4,Random Forest,10,0.8601731601731603,0.04849858940860028,0.825479359309025,0.8948669610372955,0.682843137254902,0.09221440129641469,0.6168769284559316,0.7488093460538724,0.7666666666666666,0.25092421756969363,0.5871662947484655,0.9461670385848677,0.4,0.17480147469502527,0.2749545578999677,0.5250454421000323,0.5061904761904762,0.17986375404076463,0.37752369760042703,0.6348572547805253,0.8256944444444445,0.11005920038641574,0.7469628353804675,0.9044260535084215,0.6760959076613102,0.18254466129493843,0.5455113235526736,0.8066804917699468,0.4762578440664468,0.19968324345740063,0.33341305684904426,0.6191026312838492,0.05774153339999995,0.007733721000000049
ar4,Logistic Regression,10,0.8458874458874458,0.054565683354326495,0.8068535074699553,0.8849213843049363,0.6837418300653595,0.10550535627526697,0.608267844835087,0.759215815295632,0.615,0.29317862081622476,0.40527264891097675,0.8247273510890232,0.425,0.20581815058714115,0.2777665645997405,0.5722334354002595,0.4908730158730158,0.22140225706985486,0.3324913822766894,0.6492546494693422,0.7940359477124184,0.09414110275431964,0.7266914597197579,0.8613804357050788,0.6106670127258362,0.17013077638793495,0.488962786915569,0.7323712385361034,0.4234550561224865,0.24950833778500817,0.24496754358630948,0.6019425686586636,0.004853516799999902,0.0017941539999999812
ar4,SVM,10,0.8409090909090908,0.04596418298017622,0.8080282951861101,0.8737898866320716,0.6133986928104576,0.1000821995452353,0.5418042001992704,0.6849931854216447,0.6,0.45946829173634074,0.2713161844237434,0.9286838155762566,0.25,0.2041241452319315,0.10397838302937096,0.39602161697062904,0.3366666666666666,0.2574566965865987,0.15249324077049858,0.5208400925628347,0.7634803921568627,0.15223542953487315,0.6545777263029899,0.8723830580107355,0.6418592129834388,0.19740360881112742,0.5006451781533782,0.7830732478134995,0.32593032525675575,0.27895885781535074,0.12637517983192523,0.5254854706815862,0.0043616333999998425,0.0019417875999998557
ar5,Logistic Regression,10,0.8303571428571429,0.1318287773235125,0.7360525165907692,0.9246617691235166,0.7633333333333334,0.21064275532372426,0.6126485836160951,0.9140180830505718,0.5833333333333333,0.41013397389537226,0.28994116272683723,0.8767255039398293,0.65,0.4116363011742823,0.355533129199481,0.944466870800519,0.5700000000000001,0.3550169531684889,0.31603617080798246,0.8239638291920177,0.9099999999999999,0.13245078284609424,0.8152504177874844,1.0,0.8166666666666667,0.26585524697789775,0.6264852797477918,1.0,0.5077872612645531,0.40625797248427886,0.21716781503510324,0.7984067074940029,0.004248604099999919,0.001828862600000214
