dataset,Logistic Regression,Random Forest,SVM
ar1,0.13333333333333333,0.06666666666666667,0.0
ar3,0.43,0.5433333333333333,0.25
ar4,0.4908730158730158,0.5061904761904762,0.33666666666666667
ar5,0.5700000000000001,0.55,0.35666666666666663
ar6,0.4133333333333334,0.24,0.2
kc1,0.30851525926982987,0.40091745032074727,0.20556154429461113
kc2,0.49376191925184265,0.5437423111116451,0.448761483727001
kc3,0.293507326007326,0.14216117216117213,0.01818181818181818
mc2,0.47924038036267136,0.4180142569848452,0.33724358974358976
mw1,0.33690476190476193,0.2324358974358974,0.05714285714285714
pc1,0.1721706440013076,0.36846986346986343,0.022875816993464047
pc3,0.236528154249689,0.2661423104913242,0.0
pc4,0.5279623427236529,0.4680917745262917,0.35049875875952075
