feature,importance,source
unique_operators,0.9301428228701076,linear_coefficients
halstead_level,0.9071160601392383,linear_coefficients
decision_density,0.6056081891351637,linear_coefficients
formal_parameters,0.5889586481989165,linear_coefficients
design_density,0.521290020047086,linear_coefficients
comment_loc,0.5003626380535823,linear_coefficients
code_and_comment_loc,0.4732523971253819,linear_coefficients
halstead_difficulty,0.46839061448874497,linear_coefficients
multiple_condition_count,0.38906928572015675,linear_coefficients
total_loc,0.3459924330845453,linear_coefficients
executable_loc,0.31984390901094484,linear_coefficients
cyclomatic_density,0.24232298292353716,linear_coefficients
blank_loc,0.22668403042796,linear_coefficients
normalized_cyclomatic_complexity,0.21782535145782816,linear_coefficients
unique_operands,0.20110598284034925,linear_coefficients
halstead_vocabulary,0.17804592672680006,linear_coefficients
condition_count,0.13683144572950784,linear_coefficients
design_complexity,0.12590833861297154,linear_coefficients
call_pairs,0.12590833861297154,linear_coefficients
total_operands,0.09650307712876023,linear_coefficients
halstead_error,0.06676064285098939,linear_coefficients
halstead_volume,0.04117757637561931,linear_coefficients
halstead_length,0.03664960509370537,linear_coefficients
halstead_effort,0.027866896627276126,linear_coefficients
halstead_time,0.02777288060860292,linear_coefficients
cyclomatic_complexity,0.024607754168769386,linear_coefficients
decision_count,0.007671352454460745,linear_coefficients
branch_count,0.007671352454460745,linear_coefficients
total_operators,0.001922632439996837,linear_coefficients
