feature,importance,source
d,0.9344743588130017,linear_coefficients
total_Op,0.8508111516398614,linear_coefficients
v(g),0.7820649705288129,linear_coefficients
i,0.7374652424953126,linear_coefficients
lOCode,0.6299538244087907,linear_coefficients
l,0.6002566020979899,linear_coefficients
loc,0.5917038801063909,linear_coefficients
total_Opnd,0.5322022075082987,linear_coefficients
iv(g),0.5090497613947195,linear_coefficients
locCodeAndComment,0.491337566918872,linear_coefficients
uniq_Op,0.4378541817310007,linear_coefficients
b,0.3564053620752978,linear_coefficients
n,0.3148344791157153,linear_coefficients
v,0.2519132503780992,linear_coefficients
branchCount,0.23093409338302004,linear_coefficients
uniq_Opnd,0.08053540333926237,linear_coefficients
ev(g),0.05845961855856998,linear_coefficients
lOComment,0.03165375459336574,linear_coefficients
e,0.024094254185190084,linear_coefficients
t,0.02348971903084928,linear_coefficients
lOBlank,0.010571353911818644,linear_coefficients
