feature,importance,source
total_Opnd,0.09151573236095176,feature_importances
loc,0.08685308811703005,feature_importances
uniq_Opnd,0.0867926017314408,feature_importances
n,0.07095773317613789,feature_importances
total_Op,0.06689365539555765,feature_importances
v,0.06255371117281716,feature_importances
lOBlank,0.05829543922493006,feature_importances
lOCode,0.05797472260668227,feature_importances
b,0.05193981669629676,feature_importances
e,0.04821242876843085,feature_importances
i,0.04817494951691845,feature_importances
t,0.04374560962146221,feature_importances
d,0.038783584876223284,feature_importances
uniq_Op,0.031011937580609054,feature_importances
v(g),0.028637081354190984,feature_importances
lOComment,0.027477072887268594,feature_importances
branchCount,0.026251202409813032,feature_importances
ev(g),0.024315990454756922,feature_importances
iv(g),0.020391402936280136,feature_importances
l,0.01907106354050335,feature_importances
lOCodeAndComment,0.010151175571698739,feature_importances
