feature,importance,source
NUM_UNIQUE_OPERATORS,1.1215897849732133,linear_coefficients
LOC_BLANK,0.9403348944327418,linear_coefficients
PARAMETER_COUNT,0.806338775644504,linear_coefficients
LOC_EXECUTABLE,0.7992360336927742,linear_coefficients
LOC_TOTAL,0.780312217397361,linear_coefficients
NODE_COUNT,0.7657328566193194,linear_coefficients
EDGE_COUNT,0.6750924413941115,linear_coefficients
NORMALIZED_CYLOMATIC_COMPLEXITY,0.5836216298914849,linear_coefficients
DESIGN_DENSITY,0.5726547156899018,linear_coefficients
GLOBAL_DATA_COMPLEXITY,0.557874533865755,linear_coefficients
HALSTEAD_PROG_TIME,0.5342664998813275,linear_coefficients
HALSTEAD_EFFORT,0.5342611739535573,linear_coefficients
ESSENTIAL_DENSITY,0.5317626461651535,linear_coefficients
NUM_OPERATORS,0.5210789771122313,linear_coefficients
NUMBER_OF_LINES,0.4840702071368275,linear_coefficients
DECISION_DENSITY,0.46397682715156763,linear_coefficients
CALL_PAIRS,0.4509668324346702,linear_coefficients
DESIGN_COMPLEXITY,0.38446444055820744,linear_coefficients
HALSTEAD_CONTENT,0.34853409815633124,linear_coefficients
HALSTEAD_LENGTH,0.34191943958455373,linear_coefficients
MODIFIED_CONDITION_COUNT,0.2998163322671868,linear_coefficients
MAINTENANCE_SEVERITY,0.2917036921654507,linear_coefficients
HALSTEAD_LEVEL,0.28608358832372155,linear_coefficients
CONDITION_COUNT,0.2340960968590812,linear_coefficients
HALSTEAD_VOLUME,0.2294195770088137,linear_coefficients
MULTIPLE_CONDITION_COUNT,0.21732221482368383,linear_coefficients
CYCLOMATIC_DENSITY,0.18371325030814567,linear_coefficients
DECISION_COUNT,0.16837586145097702,linear_coefficients
HALSTEAD_ERROR_EST,0.13600918848314114,linear_coefficients
CYCLOMATIC_COMPLEXITY,0.11771343843697829,linear_coefficients
ESSENTIAL_COMPLEXITY,0.1110236812699409,linear_coefficients
LOC_CODE_AND_COMMENT,0.09422765043359917,linear_coefficients
LOC_COMMENTS,0.08794289460796233,linear_coefficients
NUM_OPERANDS,0.0850491667612672,linear_coefficients
PERCENT_COMMENTS,0.08429552121591528,linear_coefficients
BRANCH_COUNT,0.07202824555445522,linear_coefficients
NUM_UNIQUE_OPERANDS,0.04321131321197397,linear_coefficients
GLOBAL_DATA_DENSITY,0.04142500816569989,linear_coefficients
HALSTEAD_DIFFICULTY,0.032746455824268564,linear_coefficients
