feature,importance,source
PARAMETER_COUNT,0.6988414914054164,linear_coefficients
CYCLOMATIC_DENSITY,0.6924518853783607,linear_coefficients
LOC_COMMENTS,0.5664843560143834,linear_coefficients
CALL_PAIRS,0.5544439619520249,linear_coefficients
HALSTEAD_LEVEL,0.5522990407339874,linear_coefficients
NORMALIZED_CYLOMATIC_COMPLEXITY,0.5473520104506894,linear_coefficients
HALSTEAD_DIFFICULTY,0.498890162510031,linear_coefficients
MODIFIED_CONDITION_COUNT,0.47588221657756247,linear_coefficients
LOC_BLANK,0.43706463962933323,linear_coefficients
NODE_COUNT,0.3694095327884913,linear_coefficients
PERCENT_COMMENTS,0.2989016829128855,linear_coefficients
NUM_UNIQUE_OPERANDS,0.2878312606679679,linear_coefficients
EDGE_COUNT,0.2579510588226061,linear_coefficients
DECISION_DENSITY,0.249668189332167,linear_coefficients
MULTIPLE_CONDITION_COUNT,0.23970442706535003,linear_coefficients
MAINTENANCE_SEVERITY,0.18816860762444967,linear_coefficients
CYCLOMATIC_COMPLEXITY,0.1747923242343509,linear_coefficients
CONDITION_COUNT,0.1723114770977445,linear_coefficients
NUM_OPERANDS,0.14603647681940987,linear_coefficients
NUM_UNIQUE_OPERATORS,0.13409945522145494,linear_coefficients
DESIGN_COMPLEXITY,0.13311737517192312,linear_coefficients
DECISION_COUNT,0.1312592623820731,linear_coefficients
DESIGN_DENSITY,0.11881973689299094,linear_coefficients
ESSENTIAL_COMPLEXITY,0.1081611858137171,linear_coefficients
HALSTEAD_CONTENT,0.10442310136855987,linear_coefficients
BRANCH_COUNT,0.10381594982437904,linear_coefficients
NUM_OPERATORS,0.08919137725201982,linear_coefficients
ESSENTIAL_DENSITY,0.05465028185596953,linear_coefficients
HALSTEAD_VOLUME,0.042082327882809405,linear_coefficients
NUMBER_OF_LINES,0.041479779255116464,linear_coefficients
HALSTEAD_EFFORT,0.037817596710672405,linear_coefficients
HALSTEAD_PROG_TIME,0.03776554927607987,linear_coefficients
LOC_CODE_AND_COMMENT,0.0374775827656939,linear_coefficients
HALSTEAD_LENGTH,0.021864222183555534,linear_coefficients
HALSTEAD_ERROR_EST,0.021050444889766415,linear_coefficients
LOC_EXECUTABLE,0.01711497268198999,linear_coefficients
LOC_TOTAL,0.008088352665461894,linear_coefficients
