feature,importance,source
CALL_PAIRS,0.06197956610447578,feature_importances
LOC_COMMENTS,0.05681849128095409,feature_importances
NODE_COUNT,0.053045266102201866,feature_importances
HALSTEAD_CONTENT,0.05027214957913941,feature_importances
NUMBER_OF_LINES,0.049564313237707026,feature_importances
EDGE_COUNT,0.0449899626271716,feature_importances
HALSTEAD_VOLUME,0.04284633976300416,feature_importances
PERCENT_COMMENTS,0.039859991191664175,feature_importances
LOC_BLANK,0.037956475189023633,feature_importances
CYCLOMATIC_DENSITY,0.037303921547228225,feature_importances
HALSTEAD_DIFFICULTY,0.03592934729174791,feature_importances
NUM_OPERATORS,0.03442101646745256,feature_importances
NUM_UNIQUE_OPERANDS,0.0332760578655722,feature_importances
HALSTEAD_PROG_TIME,0.03238678572306898,feature_importances
HALSTEAD_LENGTH,0.030800960050762875,feature_importances
HALSTEAD_EFFORT,0.030265631384416486,feature_importances
LOC_EXECUTABLE,0.028544583009690525,feature_importances
LOC_TOTAL,0.027612806091703166,feature_importances
NORMALIZED_CYLOMATIC_COMPLEXITY,0.023695213230518555,feature_importances
HALSTEAD_LEVEL,0.02317684369348697,feature_importances
DESIGN_COMPLEXITY,0.022503516186651366,feature_importances
HALSTEAD_ERROR_EST,0.020695684457855978,feature_importances
MODIFIED_CONDITION_COUNT,0.02025407289870453,feature_importances
NUM_OPERANDS,0.020122899548175695,feature_importances
MAINTENANCE_SEVERITY,0.015971216182745405,feature_importances
NUM_UNIQUE_OPERATORS,0.015886730374867753,feature_importances
BRANCH_COUNT,0.015451300165061722,feature_importances
DECISION_COUNT,0.015100271427590763,feature_importances
MULTIPLE_CONDITION_COUNT,0.014542526894374288,feature_importances
CONDITION_COUNT,0.014111227930701886,feature_importances
DECISION_DENSITY,0.011847444858946536,feature_importances
DESIGN_DENSITY,0.011440998671692473,feature_importances
CYCLOMATIC_COMPLEXITY,0.010056035573479942,feature_importances
PARAMETER_COUNT,0.0065373144391086,feature_importances
LOC_CODE_AND_COMMENT,0.005845441252070566,feature_importances
ESSENTIAL_COMPLEXITY,0.004260970254449407,feature_importances
ESSENTIAL_DENSITY,0.0006266274525329294,feature_importances
