feature,importance,source
lOComment,0.08706240277009153,feature_importances
lOBlank,0.07379272723149224,feature_importances
I,0.06839456817002879,feature_importances
uniq_Opnd,0.059607629365065175,feature_importances
lOCode,0.05887544014832831,feature_importances
locCodeAndComment,0.0583907640603989,feature_importances
V,0.05802302148960607,feature_importances
loc,0.05385837676269861,feature_importances
N,0.05320671446358264,feature_importances
E,0.050621055417555495,feature_importances
T,0.04994435645601421,feature_importances
total_Opnd,0.049679409117941026,feature_importances
uniq_Op,0.04702726517625878,feature_importances
D,0.042337883160861345,feature_importances
total_Op,0.04112221403117139,feature_importances
B,0.03607380328769217,feature_importances
L,0.0271725741251149,feature_importances
v(g),0.027109756036030906,feature_importances
branchCount,0.026994766042519734,feature_importances
iv(G),0.01679206084687543,feature_importances
ev(g),0.01391321184067249,feature_importances
