feature,importance,std,source
LOC_CODE_AND_COMMENT,0.059807956104252345,0.004886560529645236,permutation
HALSTEAD_PROG_TIME,0.00816186556927293,0.0010822862714718311,permutation
HALSTEAD_EFFORT,0.00816186556927293,0.0010822862714718311,permutation
NUM_OPERANDS,0.006241426611796918,0.0007160704052750898,permutation
HALSTEAD_LENGTH,0.005829903978052086,0.0008810173236395948,permutation
NUM_OPERATORS,0.005624142661179665,0.001139454576531972,permutation
HALSTEAD_ERROR_EST,0.005486968449931362,0.0007513340980866443,permutation
HALSTEAD_VOLUME,0.0054183813443072215,0.0007160704052750717,permutation
LOC_TOTAL,0.005075445816186519,0.0011958570489823373,permutation
MODIFIED_CONDITION_COUNT,0.004869684499314087,0.0007160704052750495,permutation
CALL_PAIRS,0.0047325102880658165,0.0015473956341122699,permutation
ESSENTIAL_COMPLEXITY,0.004663923182441676,0.0009099107792470213,permutation
LOC_COMMENTS,0.0038408779149519566,0.001445219993532604,permutation
HALSTEAD_CONTENT,0.00322359396433467,0.0006172839506173114,permutation
DESIGN_COMPLEXITY,0.002743484224965664,0.0010625468713875038,permutation
MULTIPLE_CONDITION_COUNT,0.002606310013717361,0.0005979285244911879,permutation
NUM_UNIQUE_OPERANDS,0.0025377229080932318,0.0013734557197874343,permutation
CONDITION_COUNT,0.0025377229080932205,0.0006172839506172966,permutation
LOC_EXECUTABLE,0.0024691358024690802,0.0006994539799167142,permutation
NORMALIZED_CYLOMATIC_COMPLEXITY,0.0021262002743483777,0.00138708836873502,permutation
DECISION_DENSITY,0.0019890260631000856,0.0007789997730864532,permutation
DECISION_COUNT,0.0018518518518517934,0.0006172839506172645,permutation
PARAMETER_COUNT,0.0018518518518517934,0.0012288390169526054,permutation
NODE_COUNT,0.001783264746227664,0.0008230452674897082,permutation
MAINTENANCE_SEVERITY,0.0015775034293552316,0.000689291880735293,permutation
LOC_BLANK,0.0015089163237311022,0.0008566526746774188,permutation
CYCLOMATIC_DENSITY,0.0015089163237310909,0.0007998562270020737,permutation
BRANCH_COUNT,0.0014403292181069504,0.0008916323731138265,permutation
CYCLOMATIC_COMPLEXITY,0.0013031550068586695,0.0008372123193232727,permutation
EDGE_COUNT,0.001234567901234529,0.0007387057348606768,permutation
HALSTEAD_DIFFICULTY,0.001097393689986248,0.0004549553896234973,permutation
NUMBER_OF_LINES,0.0010288065843621075,0.0005529669237515978,permutation
DESIGN_DENSITY,0.0008916323731138265,0.0005356824194723187,permutation
NUM_UNIQUE_OPERATORS,0.000823045267489686,0.0005979285244911573,permutation
PERCENT_COMMENTS,0.000411522633744843,0.00033600682342703713,permutation
HALSTEAD_LEVEL,0.00027434842249655087,0.0005486968449931434,permutation
ESSENTIAL_DENSITY,0.0,0.0,permutation
